1.76 -0.199891 0.0119137
1.77 -0.199739 0.0184045
1.78 -0.199523 0.0248893
1.79 -0.199241 0.0313662
1.8 -0.198895 0.037833
1.81 -0.198485 0.0442876
1.82 -0.19801 0.0507281
1.83 -0.19747 0.0571523
1.84 -0.196867 0.0635582
1.85 -0.196199 0.0699437
1.86 -0.195468 0.0763068
1.87 -0.194673 0.0826454
1.88 -0.193815 0.0889575
1.89 -0.192894 0.095241
1.9 -0.19191 0.101494
1.91 -0.190864 0.107714
1.92 -0.189756 0.1139
1.93 -0.188586 0.120049
1.94 -0.187355 0.12616
1.95 -0.186063 0.13223
1.96 -0.184711 0.138258
1.97 -0.183298 0.144241
1.98 -0.181826 0.150178
1.99 -0.180295 0.156066
2 -0.178705 0.161905
2.01 -0.177057 0.167691
2.02 -0.175351 0.173423
2.03 -0.173589 0.1791
2.04 -0.17177 0.184718
2.05 -0.169895 0.190278
2.06 -0.167964 0.195776
2.07 -0.165979 0.20121
2.08 -0.16394 0.20658
2.09 -0.161848 0.211884
2.1 -0.159703 0.217118
2.11 -0.157506 0.222283
2.12 -0.155257 0.227376
2.13 -0.152958 0.232396
2.14 -0.15061 0.23734
2.15 -0.148212 0.242208
2.16 -0.145766 0.246997
2.17 -0.143272 0.251707
2.18 -0.140732 0.256335
2.19 -0.138146 0.26088
2.2 -0.135515 0.26534
2.21 -0.132839 0.269715
2.22 -0.130121 0.274002
2.23 -0.12736 0.2782
2.24 -0.124557 0.282308
2.25 -0.121714 0.286325
2.26 -0.118831 0.290248
2.27 -0.115909 0.294078
2.28 -0.11295 0.297811
2.29 -0.109953 0.301448
2.3 -0.106921 0.304987
2.31 -0.103854 0.308427
2.32 -0.100753 0.311767
2.33 -0.0976187 0.315005
2.34 -0.0944529 0.318141
2.35 -0.0912562 0.321173
2.36 -0.0880298 0.3241
2.37 -0.0847746 0.326922
2.38 -0.0814917 0.329637
2.39 -0.0781822 0.332245
2.4 -0.0748472 0.334745
2.41 -0.0714877 0.337136
2.42 -0.0681048 0.339416
2.43 -0.0646997 0.341586
2.44 -0.0612735 0.343644
2.45 -0.0578272 0.345591
2.46 -0.054362 0.347424
2.47 -0.0508791 0.349144
2.48 -0.0473795 0.35075
2.49 -0.0438645 0.352241
2.5 -0.0403351 0.353617
2.51 -0.0367925 0.354878
2.52 -0.0332379 0.356023
2.53 -0.0296724 0.357051
2.54 -0.0260973 0.357963
2.55 -0.0225136 0.358758
2.56 -0.0189225 0.359435
2.57 -0.0153253 0.359995
2.58 -0.011723 0.360438
2.59 -0.0081169 0.360762
2.6 -0.00450815 0.360968
2.61 -0.000897927 0.361057
2.62 0.00271259 0.361027
2.63 0.00632222 0.360879
2.64 0.00992978 0.360614
2.65 0.0135341 0.36023
2.66 0.017134 0.359729
2.67 0.0207283 0.35911
2.68 0.0243158 0.358373
2.69 0.0278953 0.35752
2.7 0.0314658 0.356549
2.71 0.0350259 0.355462
2.72 0.0385746 0.354259
2.73 0.0421107 0.35294
2.74 0.0456331 0.351506
2.75 0.0491405 0.349957
2.76 0.0526318 0.348294
2.77 0.056106 0.346517
2.78 0.0595618 0.344626
2.79 0.0629981 0.342624
2.8 0.0664139 0.340509
2.81 0.0698079 0.338284
2.82 0.0731792 0.335948
2.83 0.0765265 0.333502
2.84 0.0798489 0.330948
2.85 0.0831451 0.328286
2.86 0.0864142 0.325517
2.87 0.0896551 0.322642
2.88 0.0928667 0.319662
2.89 0.096048 0.316577
2.9 0.0991979 0.31339
2.91 0.102315 0.310101
2.92 0.1054 0.306711
2.93 0.108449 0.303221
2.94 0.111464 0.299633
2.95 0.114442 0.295947
2.96 0.117382 0.292165
2.97 0.120285 0.288288
2.98 0.123148 0.284318
2.99 0.125971 0.280255
3 0.128753 0.276101
3.01 0.131492 0.271858
3.02 0.134189 0.267527
3.03 0.136843 0.263109
3.04 0.139451 0.258606
3.05 0.142015 0.254019
3.06 0.144531 0.24935
3.07 0.147001 0.2446
3.08 0.149423 0.239771
3.09 0.151796 0.234865
3.1 0.15412 0.229882
3.11 0.156394 0.224825
3.12 0.158616 0.219696
3.13 0.160787 0.214496
3.14 0.162906 0.209226
3.15 0.164972 0.20389
3.16 0.166984 0.198487
3.17 0.168941 0.19302
3.18 0.170844 0.187491
3.19 0.172691 0.181902
3.2 0.174482 0.176254
3.21 0.176216 0.170549
3.22 0.177893 0.164789
3.23 0.179511 0.158977
3.24 0.181072 0.153113
3.25 0.182574 0.1472
3.26 0.184016 0.14124
3.27 0.185398 0.135234
3.28 0.18672 0.129184
3.29 0.187982 0.123094
3.3 0.189182 0.116963
3.31 0.190321 0.110796
3.32 0.191398 0.104592
3.33 0.192413 0.0983551
3.34 0.193365 0.0920865
3.35 0.194254 0.0857884
3.36 0.19508 0.0794627
3.37 0.195843 0.0731115
3.38 0.196543 0.0667369
3.39 0.197178 0.0603409
3.4 0.197749 0.0539256
3.41 0.198257 0.0474929
3.42 0.198699 0.0410451
3.43 0.199077 0.034584
3.44 0.199391 0.0281119
3.45 0.19964 0.0216308
3.46 0.199823 0.0151427
3.47 0.199942 0.00864984
3.48 0.199996 0.00215416
3.49 0.199985 -0.00434221
3.5 0.19991 -0.0108372
3.51 0.199769 -0.0173287
3.52 0.199563 -0.0238147
3.53 0.199292 -0.030293
3.54 0.198957 -0.0367616
3.55 0.198557 -0.0432184
3.56 0.198093 -0.0496614
3.57 0.197564 -0.0560884
3.58 0.196971 -0.0624975
3.59 0.196314 -0.0688865
3.6 0.195594 -0.0752535
3.61 0.194809 -0.0815963
3.62 0.193962 -0.0879129
3.63 0.193051 -0.0942013
3.64 0.192078 -0.100459
3.65 0.191042 -0.106685
