Tiempo	ya	va	ve	ye
0.0	500.0	10.0	10.0	500.0
0.01	500.09951	9.902	9.902	500.09902
0.02	500.19804	9.804	9.803999999999998	500.19706
0.03	500.29559	9.706	9.705999999999998	500.29412
0.04	500.39216	9.608	9.607999999999997	500.3902
0.05	500.48775	9.51	9.509999999999996	500.4853
0.060000000000000005	500.58236	9.411999999999999	9.411999999999995	500.57941999999997
0.07	500.67599	9.314	9.313999999999995	500.67256
0.08	500.76864	9.216	9.215999999999994	500.76471999999995
0.09	500.86031	9.118	9.117999999999993	500.85589999999996
0.09999999999999999	500.951	9.02	9.019999999999992	500.94609999999994
0.10999999999999999	501.04071	8.922	8.921999999999992	501.03531999999996
0.11999999999999998	501.12944	8.824	8.823999999999991	501.12355999999994
0.12999999999999998	501.21719	8.726	8.72599999999999	501.21081999999996
0.13999999999999999	501.30396	8.628	8.62799999999999	501.29709999999994
0.15	501.38975	8.53	8.529999999999989	501.38239999999996
0.16	501.47456	8.432	8.431999999999988	501.46671999999995
0.17	501.55839	8.334	8.333999999999987	501.55006
0.18000000000000002	501.64124	8.236	8.235999999999986	501.63241999999997
0.19000000000000003	501.72311	8.138	8.137999999999986	501.7138
0.20000000000000004	501.804	8.04	8.039999999999985	501.7942
0.21000000000000005	501.88391	7.941999999999999	7.941999999999985	501.87362
0.22000000000000006	501.96284	7.843999999999999	7.843999999999985	501.95206
0.23000000000000007	502.04079	7.745999999999999	7.745999999999985	502.02952
0.24000000000000007	502.11776	7.648	7.6479999999999855	502.106
0.25000000000000006	502.19375	7.549999999999999	7.549999999999986	502.18149999999997
0.26000000000000006	502.26876	7.451999999999999	7.451999999999986	502.25602
0.2700000000000001	502.34279	7.353999999999999	7.353999999999986	502.32955999999996
0.2800000000000001	502.41584	7.2559999999999985	7.255999999999986	502.40211999999997
0.2900000000000001	502.48791	7.1579999999999995	7.157999999999986	502.47369999999995
0.3000000000000001	502.559	7.059999999999999	7.059999999999986	502.54429999999996
0.3100000000000001	502.62911	6.961999999999999	6.961999999999986	502.61391999999995
0.3200000000000001	502.69824	6.863999999999999	6.863999999999987	502.68255999999997
0.3300000000000001	502.76639	6.765999999999998	6.765999999999987	502.75021999999996
0.34000000000000014	502.83356	6.667999999999998	6.667999999999987	502.8169
0.35000000000000014	502.89975	6.5699999999999985	6.569999999999987	502.88259999999997
0.36000000000000015	502.96496	6.471999999999998	6.471999999999987	502.94732
0.37000000000000016	503.02919	6.373999999999999	6.373999999999987	503.01106
0.38000000000000017	503.09244	6.275999999999998	6.275999999999987	503.07382
0.3900000000000002	503.15471	6.177999999999998	6.1779999999999875	503.1356
0.4000000000000002	503.216	6.079999999999998	6.079999999999988	503.1964
0.4100000000000002	503.27631	5.9819999999999975	5.981999999999988	503.25622
0.4200000000000002	503.33564	5.883999999999998	5.883999999999988	503.31505999999996
0.4300000000000002	503.39399	5.785999999999998	5.785999999999988	503.37291999999997
0.4400000000000002	503.45136	5.687999999999997	5.687999999999988	503.42979999999994
0.45000000000000023	503.50775	5.589999999999997	5.589999999999988	503.48569999999995
0.46000000000000024	503.56316	5.491999999999997	5.4919999999999884	503.54061999999993
0.47000000000000025	503.61759	5.3939999999999975	5.393999999999989	503.59455999999994
0.48000000000000026	503.67104	5.295999999999997	5.295999999999989	503.64751999999993
0.49000000000000027	503.72351	5.197999999999997	5.197999999999989	503.69949999999994
0.5000000000000002	503.775	5.099999999999998	5.099999999999989	503.75049999999993
0.5100000000000002	503.82551	5.001999999999997	5.001999999999989	503.80051999999995
0.5200000000000002	503.87504	4.903999999999997	4.903999999999989	503.84955999999994
0.5300000000000002	503.92359	4.805999999999997	4.805999999999989	503.89761999999996
0.5400000000000003	503.97116	4.7079999999999975	4.7079999999999895	503.94469999999995
0.5500000000000003	504.01775	4.609999999999997	4.60999999999999	503.9908
0.5600000000000003	504.06336	4.511999999999997	4.51199999999999	504.03592
0.5700000000000003	504.10799	4.413999999999997	4.41399999999999	504.08006
0.5800000000000003	504.15164	4.315999999999996	4.31599999999999	504.12322
0.5900000000000003	504.19431	4.217999999999996	4.21799999999999	504.1654
0.6000000000000003	504.236	4.1199999999999966	4.11999999999999	504.2066
0.6100000000000003	504.27671	4.021999999999997	4.0219999999999905	504.24681999999996
0.6200000000000003	504.31644	3.923999999999996	3.9239999999999906	504.28605999999996
0.6300000000000003	504.35519	3.825999999999996	3.8259999999999907	504.32431999999994
0.6400000000000003	504.39296	3.727999999999996	3.727999999999991	504.36159999999995
0.6500000000000004	504.42975	3.6299999999999963	3.629999999999991	504.39789999999994
0.6600000000000004	504.46556	3.5319999999999956	3.531999999999991	504.43321999999995
0.6700000000000004	504.50039	3.4339999999999957	3.4339999999999913	504.46755999999993
0.6800000000000004	504.53424	3.335999999999996	3.3359999999999914	504.50091999999995
0.6900000000000004	504.56711	3.237999999999996	3.2379999999999916	504.53329999999994
0.7000000000000004	504.599	3.1399999999999952	3.1399999999999917	504.56469999999996
0.7100000000000004	504.62991	3.0419999999999954	3.041999999999992	504.59511999999995
0.7200000000000004	504.65984	2.9439999999999955	2.943999999999992	504.62456
0.7300000000000004	504.68879	2.8459999999999956	2.845999999999992	504.65301999999997
0.7400000000000004	504.71676	2.747999999999995	2.7479999999999922	504.6805
0.7500000000000004	504.74375	2.649999999999995	2.6499999999999924	504.707
0.7600000000000005	504.76976	2.551999999999995	2.5519999999999925	504.73251999999997
0.7700000000000005	504.79479	2.4539999999999953	2.4539999999999926	504.75705999999997
0.7800000000000005	504.81884	2.3559999999999945	2.3559999999999928	504.78061999999994
0.7900000000000005	504.84191	2.2579999999999947	2.257999999999993	504.80319999999995
0.8000000000000005	504.864	2.159999999999995	2.159999999999993	504.8247999999999
0.8100000000000005	504.88511	2.061999999999995	2.061999999999993	504.84541999999993
