0.0	10.0	0
0.5	10.0	-4.9
1.0	7.55	-9.8
1.5	2.6499999999999995	-14.700000000000001
2.0	-4.700000000000001	-19.6
2.5	-14.500000000000002	-24.5
3.0	-26.75	-29.4
3.5	-41.45	-34.3
4.0	-58.6	-39.199999999999996
4.5	-78.2	-44.099999999999994
5.0	-100.25	-48.99999999999999
5.5	-124.75	-53.89999999999999
6.0	-151.7	-58.79999999999999
6.5	-181.1	-63.69999999999999
7.0	-212.95	-68.6
7.5	-247.25	-73.5
8.0	-284.0	-78.4
8.5	-323.2	-83.30000000000001
9.0	-364.85	-88.20000000000002
9.5	-408.95000000000005	-93.10000000000002
10.0	-455.50000000000006	-98.00000000000003
